intent,text
ussd_help,list of useful USSD codes
ussd_help,USSD help for beginners
ussd_help,which code for different banks
atm_branch_guide,how do I find the nearest ATM
atm_branch_guide,where can I locate a bank branch
atm_branch_guide,how to find ATM close to me
atm_branch_guide,guide for finding nearest branch
atm_branch_guide,what app shows ATM locations
atm_branch_guide,how do I locate ATM or branch
atm_branch_guide,nearest ATM or branch finder
atm_branch_guide,how to know where bank branch is
atm_branch_guide,ATM location help
atm_branch_guide,branch near me how
goodbye,okay thank you
goodbye,bye for now
goodbye,thanks a lot
goodbye,good night
goodbye,see you later
goodbye,take care
goodbye,bye bye
goodbye,thank you bankmate
goodbye,alright later
goodbye,goodbye boss
goodbye,thanks my guy
goodbye,see you next time
goodbye,bye love
goodbye,good night my person
human_agent,I want to speak to a real person
human_agent,please connect me to customer care
human_agent,transfer me to live agent
human_agent,call human support please
human_agent,I prefer talking to agent
human_agent,connect me to customer service
human_agent,no be bot I want abeg
human_agent,give me live person
human_agent,escalate to agent please
human_agent,talk to somebody real
human_agent,human agent abeg
human_agent,I wan speak to person
